Family,Residual,Contextual,No context,Active analogs,Top target,Purity,Confidence gap,Conflict share,No analog share,Safe auto,Safe group,Irreducible,Limit reason
Mounting/installation kits without destination target,20,3,17,347,dvigatel-i-transmissiya/detali-dvigatelya,0.1037,0.0029,0.8963,0,0,0,20,"Монтажный набор или фиксатор есть, но без устойчивого узла автомобиля нельзя выбрать категорию."
Suspension/steering parts with partial context,19,1,18,998,podveska/rulevye-nakonechniki,0.4269,0.2766,0.5731,0,0,0,19,"Подвеска/рулевое направление видно, но конкретная подкатегория часто конфликтует между стойками, наконечниками, рычагами и прочими деталями."
Exterior/decor body items with partial context,18,0,18,487,kuzov-i-optika/kuzovnye-detali,0.4066,0.2546,0.5934,0,0,0,18,"Позиции похожи на кузовной декор или наружные детали, но часть названий не отделяет декор от кузовных деталей."
"Caps, covers and plugs without destination",18,2,16,403,dvigatel-i-transmissiya/detali-dvigatelya,0.2184,0.1266,0.7816,0,0,0,18,"Крышки и заглушки требуют контекст узла: радиатор, поддон, фара, бардачок, КПП и т.п."
Vehicle-model-only or legacy part without function,17,3,14,5154,kuzov-i-optika/kuzovnye-detali,0.103,0.0318,0.897,0,0,0,17,"Марка/модель автомобиля помогает совместимости, но без функции детали не выбирает публичную подкатегорию."
Fans and thermal/ventilation parts without stable target,16,0,16,147,dvigatel-i-transmissiya/detali-dvigatelya,0.415,0.2313,0.585,0,0,0,16,"Вентиляторы и воздуховоды встречаются в охлаждении, отопителе, салоне и универсальных аксессуарах; без назначения target конфликтует."
Starter/ignition electrical parts with partial context,15,0,15,200,elektrika/prochaya-elektrika,0.78,0.71,0.22,0,0,0,15,"Электрический узел виден, но в остатке смешаны стартер, зажигание, приборка и мелкие компоненты."
Travel/storage/covers without stable target,15,0,15,95,aksessuary/chehly,0.4947,0.2842,0.5053,0,0,0,15,Часть товаров является универсальными дорожными/бытовыми аксессуарами без точного target в автомобильной таксономии.
Driveline/axle/differential parts with partial context,14,0,14,278,dvigatel-i-transmissiya/detali-transmissii,0.295,0.1259,0.705,0,0,0,14,"Трансмиссионный/мостовой контекст есть, но target расходится между КПП, трансмиссией, ступицами и подвеской."
Lighting/signal devices without stable target,14,1,13,422,kuzov-i-optika/fonari,0.7725,0.6848,0.2275,0,0,0,14,"Световой или сигнальный прибор виден, но без подтверждения автомобильной установки и target-подкатегории перевод небезопасен."
Optics/glass parts with partial context,14,7,7,245,kuzov-i-optika/fary,0.5061,0.3755,0.4939,0,0,0,14,"Оптика/стекло видны, но остаток смешивает фары, поворотники, крепёж, стекла и комплекты без единого safe target."
Novelty/souvenir non-catalog goods,12,0,12,12,elektrika/prochaya-elektrika,0.9167,0.8333,0.0833,0,0,0,12,Сувенирные/игрушечные позиции не являются автозапчастями и не имеют допустимой публичной подкатегории.
Cleaning/wiper accessories without stable target,11,6,5,247,filtry-i-masla/zhidkosti,0.3198,0.1336,0.6802,0,0,0,11,"Очистка/стеклоочистители частично автоматизированы, но оставшиеся названия смешивают расходники, аксессуары и детали узла."
Cabin comfort/universal accessories without stable target,11,0,11,211,aksessuary/prochie-aksessuary,0.4882,0.1043,0.5118,0,0,0,11,Салонные универсальные аксессуары в остатке не всегда отделяются от кузовных/салонных деталей и бытовых товаров.
Consumer phone/power accessories,11,0,11,43,elektrika/prochaya-elektrika,0.7907,0.7209,0.2093,0,0,0,11,Потребительская электроника и телефонные аксессуары не имеют подтверждённого автомобильного target.
Car-care consumables without stable target,10,1,9,178,aksessuary/avtohimiya,0.4045,0.1573,0.5955,0,0,0,10,"Расходники ухода/полировки есть, но текущие активные аналоги расходятся между автохимией, инструментами и прочими аксессуарами."
Tools and road equipment without stable target,9,2,7,754,aksessuary/instrumenty,0.7281,0.6618,0.2719,0,0,0,9,Инструментальные позиции могут быть аксессуарами или специнструментом под узел автомобиля; без устойчивого назначения автоперевод небезопасен.
Miscellaneous universal non-catalog goods,6,0,6,37,kuzov-i-optika/fonari,0.3784,0.1351,0.6216,0,0,0,6,Единичные универсальные товары не являются автозапчастями или не имеют точного публичного target в текущей таксономии.
Electrical/consumer devices without auto context,5,0,5,27,elektrika/prochaya-elektrika,0.3333,0.1111,0.6667,0,0,0,5,"Электрический товар есть, но автомобильное назначение не подтверждено достаточными признаками."
Tube/line mounts without system,5,0,5,2,dvigatel-i-transmissiya/detali-dvigatelya,0.5,0,0.5,0,0,0,5,"Есть трубки или крепление магистралей, но без тормозного/топливного/охлаждающего назначения target остаётся неоднозначным."
Safety/reflective/emergency goods without stable target,4,0,4,30,aksessuary/bezopasnost,0.6667,0.5333,0.3333,0,0,0,4,"Товары безопасности видны, но часть остатка не имеет устойчивой подкатегории или автомобильного назначения в текущей таксономии."
Audio/radio/media accessories without stable target,3,0,3,73,aksessuary/prochie-aksessuary,0.8493,0.726,0.1507,0,0,0,3,"Аудио и медиа-аксессуары пересекаются между автоэлектроникой, прочей электрикой и универсальными товарами."
Fluids/adhesives/chemicals without stable target,2,0,2,427,filtry-i-masla/smazki,0.3091,0.007,0.6909,0,0,0,2,"Химия и клеевые материалы распределяются между автохимией, жидкостями, смазками и прочими аксессуарами."
Fragrance/air-freshener goods without stable target,1,0,1,0,,0,0,0,1,0,0,1,"Ароматизаторы частично похожи на аксессуары/автохимию, но остаток не имеет подтвержденной подкатегории."
Fuel/air intake parts with partial context,1,0,1,198,dvigatel-i-transmissiya/toplivnaya-sistema,0.6768,0.5606,0.3232,0,0,0,1,"Есть топливный/воздушный контекст, но оставшиеся позиции требуют отделить систему питания от фильтров, двигателя и универсальных деталей."
