scope,status,shopCode,name,category,subcategory,confidence,source,family,detectedFamily,reviewReason,evidence,neighborTarget,neighborShare,neighborExamples
new_or_unconfirmed,AUTO_READY,А-00147,Эмблема ЛАДА 1600,kuzov-i-optika,emblemy,0.92,single_strong_token,Эмблемы,other,single_strong_token,family:legacy_kuzov-i-optika_emblemy | pattern:эмблема | pattern:эмблема | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00160,AWM Щетка бескаркасная,aksessuary,prochie-aksessuary,0.927,domain_dictionary,Стеклоочистители,other,domain_dictionary,family:wiper | token:щетка | token:щётка | token:бескаркасн | validation:normalizer:4:useful_tokens,aksessuary/prochie-aksessuary,1,"А-01483 AWM Щетка стеклоочистителя бескаркасная | А-02156 Osawa FSW65/FSW40/KM11 Бескаркасная щетка стеклоочистителя X-RAY, 2 шт | А-02034 Щетка стеклоочистителя бескаркасная HOFER | А-01092 Щетка стеклоочистителя бескаркасная 330 мм"
new_or_unconfirmed,GROUP_REVIEW,А-00161,"Компьютер ""Штат"" 2110 (голосовой)",elektrika,prochaya-elektrika,0.85,weak_group_candidate,Прочая электрика,other,group_confirmation,family:electrical_misc | token:компьютер | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00170,Изолента,elektrika,provodka,0.87,weak_group_candidate,Изолента и электромонтажные ленты,other,group_confirmation,family:electrical_tape | token:изолента | phrase:изолента | validation:normalizer:2:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00176,"Адаптер ""Samsung"" USB (оригинал)",ves-assortiment,other-products,0.95,other_products_fallback,Прочие товары: универсальные фитинги и соединители,electrical_consumer,other_products_fallback,family:other_products_fittings | token:адаптер | phrase:адаптер | validation:normalizer:5:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00204,Пылесос (для сухой и влажной уборки),aksessuary,prochie-aksessuary,0.88,weak_group_candidate,Автопылесосы,other,group_confirmation,family:car_vacuums | token:пылесос | phrase:пылесос | validation:normalizer:5:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00210,Сигналы воздушные,aksessuary,prochie-aksessuary,0.927,family_rule,Звуковые сигналы,other,close_candidates_or_weak_gap,family:automotive_horns | token:сигнал | token:сигналы | token:воздуш | phrase:сигналы воздушные | pattern:strong_multi_token | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00213,Воздухозаборники хром 2101-07 н/о,kuzov-i-optika,kuzovnye-detali,0.89,weak_group_candidate,Кузовные воздухозаборники,other,group_confirmation,family:body_air_intakes | token:воздухозаборник | token:воздухозаборники | phrase:воздухозаборники хром | validation:normalizer:4:useful_tokens,,0.6667,А-00590 Решётка н/о хром 2109 | А-00589 Решётка н/о хром 2110
new_or_unconfirmed,GROUP_REVIEW,А-00228,Руль Самара,kuzov-i-optika,kuzovnye-detali,0.86,weak_group_candidate,Рули и рулевые колеса,steering_wheels,group_confirmation,family:steering_wheels | token:руль | phrase:руль самара | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,MANUAL_REVIEW,А-00246,"Смайлики силикон, 4 шт",,,0,no_match,no_match,personal_accessories,no_candidate,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",,0,
new_or_unconfirmed,GROUP_REVIEW,А-00250,Скотч армированный,aksessuary,prochie-aksessuary,0.872,weak_group_candidate,Скотч и клейкие ленты,adhesive_tapes,group_confirmation,family:adhesive_tapes | token:скотч | token:армирован | phrase:скотч армированный | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00255,Сигналы 3 рожка 12/24 V,aksessuary,prochie-aksessuary,0.902,weak_group_candidate,Звуковые сигналы,other,group_confirmation,family:automotive_horns | token:сигнал | token:сигналы | token:рожк | phrase:сигналы 3 рожка | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00259,Поводок задний Калина х/б,aksessuary,prochie-aksessuary,0.952,family_rule,Стеклоочистители,other,family_rule,family:wiper | token:поводок | token:задний | phrase:поводок | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00265,Массажёр,aksessuary,prochie-aksessuary,0.882,weak_group_candidate,Комфортные аксессуары салона,other,group_confirmation,family:comfort_accessories | token:массажер | token:массажёр | token:массаж | phrase:массажёр | validation:normalizer:2:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00276,Стоп-сигнал (рука),kuzov-i-optika,fonari,0.9,weak_group_candidate,Стоп-сигналы,other,group_confirmation,family:stop_lights | token:стоп | phrase:стоп-сигнал | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,MANUAL_REVIEW,А-00278,Собака маленькая,,,0,no_match,no_match,other,no_candidate,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",,0,
new_or_unconfirmed,AUTO_READY,А-00284,Эмблема 2401,kuzov-i-optika,emblemy,0.92,single_strong_token,Эмблемы,other,single_strong_token,family:legacy_kuzov-i-optika_emblemy | pattern:эмблема | pattern:эмблема | validation:normalizer:2:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00285,Поводок ГАЗ-66,aksessuary,prochie-aksessuary,0.94,family_rule,Стеклоочистители,other,family_rule,family:wiper | token:поводок | phrase:поводок | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00288,Консоль Приора серебро,kuzov-i-optika,elementy-salona,0.85,weak_group_candidate,Элементы салона,other,group_confirmation,family:interior | token:консоль | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00324,Эмблема УАЗ,kuzov-i-optika,emblemy,0.92,single_strong_token,Эмблемы,other,single_strong_token,family:legacy_kuzov-i-optika_emblemy | pattern:эмблема | pattern:эмблема | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00326,Эмблема 3110 (2 шт),kuzov-i-optika,emblemy,0.92,single_strong_token,Эмблемы,other,single_strong_token,family:legacy_kuzov-i-optika_emblemy | pattern:эмблема | pattern:эмблема | validation:normalizer:2:useful_tokens,,0,
new_or_unconfirmed,DO_NOT_PUBLISH,А-00369,Люк,,,0,do_not_publish,do_not_publish,other,UNKNOWN_PRODUCT_TYPE,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:UNKNOWN_PRODUCT_TYPE",,0,
new_or_unconfirmed,AUTO_READY,А-00370,Скоба д.16,ves-assortiment,other-products,0.94,other_products_fallback,Прочие товары: универсальные хомуты и держатели,other,other_products_fallback,family:other_products_clamps_brackets | token:скоба | phrase:скоба | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00378,Накидка массажная PSV плетёный бамбук,aksessuary,chehly,0.872,weak_group_candidate,Чехлы и накидки сидений,other,group_confirmation,family:seat_covers | token:накидка | token:массаж | validation:normalizer:6:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00385,"Атлас дорог России, Москвы, Подмосковья",aksessuary,prochie-aksessuary,0.88,weak_group_candidate,Печатные материалы,other,group_confirmation,family:printed_accessories | token:атлас | phrase:атлас дорог | validation:normalizer:6:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00390,Руль кожа-дерево,kuzov-i-optika,kuzovnye-detali,0.82,weak_group_candidate,Рули и рулевые колеса,steering_wheels,group_confirmation,family:steering_wheels | token:руль | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00391,Ревун-сигнал,aksessuary,prochie-aksessuary,0.862,weak_group_candidate,Звуковые сигналы,other,group_confirmation,family:automotive_horns | token:ревун | token:ревун | validation:normalizer:2:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00401,Пленка тонирующая с переходом,aksessuary,prochie-aksessuary,0.85,weak_group_candidate,Прочие аксессуары,other,group_confirmation,family:misc_accessories | token:пленка | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,MANUAL_REVIEW,А-00404,Собака (очень большая),,,0,no_match,no_match,other,no_candidate,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",,0,
new_or_unconfirmed,GROUP_REVIEW,А-00410,Кожух руля 2106,kuzov-i-optika,kuzovnye-detali,0.935,similarity,Похожие активные товары,other,neighbor_group_confirmation,neighbor:active-neighbor:75% | token:кожух | token:руля,kuzov-i-optika/kuzovnye-detali,0.75,А-02032 Кожух руля 2112 (Европанель) | КЗ-00416 Кожух руля УАЗ-469 Люкс | КЗ-00683 Кожух руля Зил-Бычок
new_or_unconfirmed,GROUP_REVIEW,А-00419,Реснички боковых стекол 2106,kuzov-i-optika,obves-i-dekor,0.862,weak_group_candidate,Обвес и декор,body_decor,group_confirmation,family:body_decor | token:реснички | token:стекол | validation:normalizer:4:useful_tokens,,0.6667,РИ-00073 Реснички стекол 2101-06/05-07 (к-т) | РИ-00410 Реснички стёкол наруж. Калина | РИ-00119 Уплотнитель боковых стекол 2108-09 | РИ-00546 Уплотнитель задних боковых стёкол Нива 21214
new_or_unconfirmed,GROUP_REVIEW,А-00439,Накладка кулисы 2101-07,kuzov-i-optika,elementy-salona,0.85,weak_group_candidate,Элементы салона,other,group_confirmation,family:interior | token:накладка | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00461,Скотч 50 мм,aksessuary,prochie-aksessuary,0.832,weak_group_candidate,Скотч и клейкие ленты,adhesive_tapes,group_confirmation,family:adhesive_tapes | token:скотч | token:мм | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00472,Накладка под фары 2110 (2 шт),kuzov-i-optika,fary,0.9,weak_group_candidate,Фары,other,group_confirmation,family:headlight | token:фары | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00474,Обшивка салона 2108 (к-т),kuzov-i-optika,elementy-salona,0.85,weak_group_candidate,Элементы салона,other,group_confirmation,family:interior | token:обшивка | validation:normalizer:4:useful_tokens,,0.5,КР-00441 Обшивка двери 2110 (к-т) | КР-00380 Обшивка порогов 2110 (к-т 4 шт)
new_or_unconfirmed,GROUP_REVIEW,А-00480,Полка задней панели ВАЗ 2101-07,kuzov-i-optika,kuzovnye-detali,0.94,similarity,Похожие активные товары,other,neighbor_group_confirmation,neighbor:active-neighbor:83% | token:задней | token:панели | token:ваз | token:полка,kuzov-i-optika/kuzovnye-detali,0.8333,"А-00877 Полка на панель декорат. ВАЗ, Газель | ЖЛ-00137 Усилитель задней панели 2105 | КР-00327 Обшивка задней двери ВАЗ 2112 | ЖЛ-00084 Усилитель задней панели 2101 | ЖЛ-00417 Усил. задней панели 21213"
new_or_unconfirmed,GROUP_REVIEW,А-00487,Полка задняя 2101-07 пластмасса,kuzov-i-optika,elementy-salona,0.89,weak_group_candidate,Элементы салона,other,group_confirmation,family:interior | token:полка | phrase:полка задняя | validation:normalizer:5:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00489,Колонки PIONEER 1320,aksessuary,prochie-aksessuary,0.85,weak_group_candidate,Автоаудио,other,group_confirmation,family:car_audio | token:колонки | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00494,Накладка сиденья глухая 21213 Нива,kuzov-i-optika,elementy-salona,0.85,weak_group_candidate,Элементы салона,seat_parts,group_confirmation,family:interior | token:накладка | validation:normalizer:5:useful_tokens,,0,
new_or_unconfirmed,DO_NOT_PUBLISH,А-00502,Брелок,,,0,do_not_publish,do_not_publish,personal_accessories,UNKNOWN_PRODUCT_TYPE,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:UNKNOWN_PRODUCT_TYPE",,0,
new_or_unconfirmed,GROUP_REVIEW,А-00509,Накладка потолка 2105-07,kuzov-i-optika,elementy-salona,0.85,weak_group_candidate,Элементы салона,other,group_confirmation,family:interior | token:накладка | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,DO_NOT_PUBLISH,А-00511,Перчатки,,,0,do_not_publish,do_not_publish,personal_accessories,UNKNOWN_PRODUCT_TYPE,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:UNKNOWN_PRODUCT_TYPE",,0,
new_or_unconfirmed,GROUP_REVIEW,А-00512,"Колонки автомобильные ""MRM"" 16 см",aksessuary,prochie-aksessuary,0.89,weak_group_candidate,Автоаудио,other,group_confirmation,family:car_audio | token:колонки | phrase:колонки автомобильные | validation:normalizer:5:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00519,Футляр для очков,aksessuary,organayzery,0.872,weak_group_candidate,Автодокументы и футляры,document_accessories,group_confirmation,family:document_accessories | token:футляр | token:очков | phrase:футляр для очков | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,MANUAL_REVIEW,А-00526,Обезьяна на присоске,,,0,no_match,no_match,other,no_candidate,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",,0,
new_or_unconfirmed,MANUAL_REVIEW,А-00543,"""КОТО"" Разветвитель двойной 201",,,0,no_match,no_match,other,no_candidate,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",,0,
new_or_unconfirmed,MANUAL_REVIEW,А-00548,Тюнинг Нива-Тайга,,,0,no_match,no_match,other,no_candidate,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",,0,
new_or_unconfirmed,GROUP_REVIEW,А-00556,Подушка на подголовник (животные),aksessuary,prochie-aksessuary,0.882,weak_group_candidate,Комфортные аксессуары салона,other,group_confirmation,family:comfort_accessories | token:подушка | token:подголовник | token:подголовник | phrase:подушка на подголовник | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00559,Замок на руль,aksessuary,bezopasnost,0.902,weak_group_candidate,Противоугонные замки,steering_wheels,group_confirmation,family:anti_theft_locks | token:замок | token:руль | phrase:замок на руль | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00566,"Эмблема ""Ока""",kuzov-i-optika,emblemy,0.92,single_strong_token,Эмблемы,other,single_strong_token,family:legacy_kuzov-i-optika_emblemy | pattern:эмблема | pattern:эмблема | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00567,"Книги ""За рулём "" ВАЗ",aksessuary,prochie-aksessuary,0.88,weak_group_candidate,Печатные материалы,other,group_confirmation,family:printed_accessories | token:книг | phrase:книги за рулем | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,DO_NOT_PUBLISH,А-00573,Прожектор,,,0,do_not_publish,do_not_publish,other,UNKNOWN_PRODUCT_TYPE,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:UNKNOWN_PRODUCT_TYPE",,0,
new_or_unconfirmed,GROUP_REVIEW,А-00580,Подогрев сиденья (от прикур.),elektrika,prochaya-elektrika,0.912,weak_group_candidate,Подогревы сидений,seat_parts,group_confirmation,family:seat_heaters | token:подогрев | token:сидень | phrase:подогрев сиденья | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00581,Подогрев сиденья (регулируемый),elektrika,prochaya-elektrika,0.912,weak_group_candidate,Подогревы сидений,seat_parts,group_confirmation,family:seat_heaters | token:подогрев | token:сидень | phrase:подогрев сиденья | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00585,Компьютер 2115 (говорящий),elektrika,prochaya-elektrika,0.85,weak_group_candidate,Прочая электрика,other,group_confirmation,family:electrical_misc | token:компьютер | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00606,Сиденье 2105,kuzov-i-optika,elementy-salona,0.85,weak_group_candidate,Элементы салона,seat_parts,group_confirmation,family:interior | token:сиденье | validation:normalizer:2:useful_tokens,,0,
new_or_unconfirmed,MANUAL_REVIEW,А-00616,"Аппликатор ""Доктор ВАКС""",,,0,no_match,no_match,other,no_candidate,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",,0,
new_or_unconfirmed,GROUP_REVIEW,А-00623,Воздухозаборник Нива,kuzov-i-optika,kuzovnye-detali,0.89,weak_group_candidate,Кузовные воздухозаборники,other,group_confirmation,family:body_air_intakes | token:воздухозаборник | phrase:воздухозаборник | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00673,Переноска галогеновая,elektrika,osveshchenie,0.892,weak_group_candidate,Переносные автомобильные светильники,other,group_confirmation,family:portable_work_lights | token:переноска | token:галоген | phrase:переноска галогеновая | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00687,Консоль Нива 21213,kuzov-i-optika,elementy-salona,0.85,weak_group_candidate,Элементы салона,other,group_confirmation,family:interior | token:консоль | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00694,"Автомагнитола AM Eplutus СА310, СА313",aksessuary,prochie-aksessuary,0.89,weak_group_candidate,Автоэлектроника и устройства,other,group_confirmation,family:accessory_electronics | token:автомагнитола | phrase:автомагнитола | validation:normalizer:6:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00700,Массажёр на сидение (нижняя часть),aksessuary,prochie-aksessuary,0.919,weak_group_candidate,Комфортные аксессуары салона,other,group_confirmation,family:comfort_accessories | token:массажер | token:массажёр | token:сиден | token:массаж | phrase:массажер на сидение | phrase:массажёр | validation:normalizer:5:useful_tokens,,0.5,РГ-00252 Нижняя часть карбюратора К-151 | РГ-00174 Нижняя часть карбюратора К-131
new_or_unconfirmed,DO_NOT_PUBLISH,А-00703,Такси,,,0,do_not_publish,do_not_publish,other,UNKNOWN_PRODUCT_TYPE,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:UNKNOWN_PRODUCT_TYPE",,0,
new_or_unconfirmed,AUTO_READY,А-00707,"Руль ""ЛАДА"", ""САМАРА"" (хром. эмблема)",kuzov-i-optika,emblemy,0.92,single_strong_token,Эмблемы,steering_wheels,close_candidates_or_weak_gap,family:legacy_kuzov-i-optika_emblemy | pattern:эмблема | pattern:эмблема | validation:normalizer:6:useful_tokens,,0,
new_or_unconfirmed,MANUAL_REVIEW,А-00711,Покрытие пола (линолеум),,,0,no_match,no_match,other,no_candidate,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",,0,
new_or_unconfirmed,GROUP_REVIEW,А-00714,Водосток 2110-2112,kuzov-i-optika,kuzovnye-detali,0.89,weak_group_candidate,Кузовные детали,other,group_confirmation,family:body_exterior | token:водосток | phrase:водосток | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,DO_NOT_PUBLISH,А-00718,Мячик-дезодорант (1 шт),,,0,do_not_publish,do_not_publish,other,UNKNOWN_PRODUCT_TYPE,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:UNKNOWN_PRODUCT_TYPE",,0,
new_or_unconfirmed,MANUAL_REVIEW,А-00723,Автопарфюм 7 мл,,,0,no_match,no_match,other,no_candidate,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",,0,
new_or_unconfirmed,MANUAL_REVIEW,А-00726,Бокс 2101-07 Люкс,,,0,no_match,no_match,other,no_candidate,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",,0,
new_or_unconfirmed,GROUP_REVIEW,А-00735,Арки колёс 2109 пластмассовые (4 шт),kuzov-i-optika,kuzovnye-detali,0.89,weak_group_candidate,Кузовные детали,other,group_confirmation,family:body_exterior | token:арки | phrase:арки колес | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00745,FELIX Щётка для снега телескопическая поворотная со скребком 100-138см,aksessuary,prochie-aksessuary,0.961,family_rule,Щетки и скребки для ухода,other,family_rule,family:cleaning_brushes | token:щетка | token:щётка | token:снег | token:телескоп | token:скреб | phrase:щетка для снега | phrase:щётка для снега | validation:normalizer:8:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00747,Полировочная машина (220 V),aksessuary,instrumenty,0.92,family_rule,Инструменты,other,family_rule,family:tools | token:полировочная | phrase:полировочная машина | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00759,Компьютер 2115,elektrika,prochaya-elektrika,0.85,weak_group_candidate,Прочая электрика,other,group_confirmation,family:electrical_misc | token:компьютер | validation:normalizer:2:useful_tokens,,0,
new_or_unconfirmed,DO_NOT_PUBLISH,А-00775,А-00775,,,0,do_not_publish,do_not_publish,other,CODE_ONLY,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target. | validation:CODE_ONLY",,0,
new_or_unconfirmed,GROUP_REVIEW,А-00785,Колпаки хромированные д.15,aksessuary,shiny-i-diski,0.914,weak_group_candidate,Колпаки колес,other,group_confirmation,family:wheel_caps | token:колпаки | token:колпак | token:хром | token:д. | phrase:колпаки | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00792,Наждачный круг (на липучке),aksessuary,instrumenty,0.92,family_rule,Инструменты,other,family_rule,family:tools | token:наждачный | phrase:наждачный круг | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00811,Подголовники на сиденья,aksessuary,prochie-aksessuary,0.881,weak_group_candidate,Комфортные аксессуары салона,seat_parts,group_confirmation,family:comfort_accessories | token:подголовник | token:подголовники | token:сидень | token:сиден | token:подголовник | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00814,Сопло обдува салона 2110 (центр.),kuzov-i-optika,elementy-salona,0.89,weak_group_candidate,Элементы салона,interior_sunvisors,group_confirmation,family:interior | token:сопло | token:обдув | phrase:сопло обдува | validation:normalizer:5:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00817,Ремни безопасности 2101-07 (2 шт),aksessuary,bezopasnost,0.912,weak_group_candidate,Ремни безопасности,safety_belts,group_confirmation,family:seat_belts | token:ремни | token:безопас | phrase:ремни безопасности | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00825,Арки крыла 2141 декоративные (4 шт),kuzov-i-optika,kuzovnye-detali,0.85,weak_group_candidate,Кузовные детали,other,group_confirmation,family:body_exterior | token:арки | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00833,"Колпаки хромированные н/о д. 14,15",aksessuary,shiny-i-diski,0.938,family_rule,Колпаки колес,other,family_rule,family:wheel_caps | token:колпаки | token:колпак | token:хром | token:д. | token:14 | token:15 | phrase:колпаки | validation:normalizer:4:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00835,"Антирадар ""SHO-ME""",aksessuary,prochie-aksessuary,0.882,weak_group_candidate,Водительская электроника,driver_electronics,group_confirmation,family:driver_electronics | token:антирадар | token:sho-me | phrase:антирадар | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00842,"""Bremax"" WB-6055 РТ Щетки с/о 60+55 Volvo",aksessuary,prochie-aksessuary,0.952,family_rule,Стеклоочистители,other,family_rule,family:wiper | token:стеклооч | token:щетки | token:щётки | token:стеклоочист | phrase:щетки стеклоочистителя | validation:normalizer:7:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00847,"Магнитола ""Пролоджи""",aksessuary,prochie-aksessuary,0.85,weak_group_candidate,Автоаудио,other,group_confirmation,family:car_audio | token:магнитола | validation:normalizer:3:useful_tokens,,0,
new_or_unconfirmed,GROUP_REVIEW,А-00874,"Подставка страховочная складная 2 т, 230-370мм, 2 шт AVS AS-02S",aksessuary,bezopasnost,0.902,weak_group_candidate,Страховочные подставки,other,group_confirmation,family:safety_stands | token:подставка | token:страхов | phrase:подставка страховочная | validation:normalizer:7:useful_tokens,,0,
new_or_unconfirmed,AUTO_READY,А-00884,"Колпаки хром д. 15 ""спицы""",aksessuary,shiny-i-diski,0.951,family_rule,Колпаки колес,other,family_rule,family:wheel_caps | token:колпаки | token:колпак | token:хром | token:д. | token:15 | phrase:колпаки | phrase:колпаки хром | validation:normalizer:5:useful_tokens,,0,
new_or_unconfirmed,MANUAL_REVIEW,А-00894,Рысь (большая),,,0,no_match,no_match,other,no_candidate,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",,0,
new_or_unconfirmed,AUTO_READY,А-00895,"Колпаки хромированные вращающиеся д. 13, 1",aksessuary,shiny-i-diski,0.926,family_rule,Колпаки колес,other,family_rule,family:wheel_caps | token:колпаки | token:колпак | token:хром | token:д. | token:13 | phrase:колпаки | validation:normalizer:5:useful_tokens,,0,
new_or_unconfirmed,MANUAL_REVIEW,А-00896,Опора полки 2108 (2 шт),,,0,no_match,no_match,other,no_candidate,"validation:no_match | validation:Нет семейства, правила или безопасного похожего target.",,0,
