family,residualCount,share,reason,usefulContext,noUsefulContext,topTokens,activeAnalogs,topActiveTargets,groupPossible,autoReadyPossible,irreducible,examples
Personal/non-catalog accessories,26,0.0224,no_allowed_target_current_taxonomy,0,26,перчатки:7 | брелок:5 | собака:4 | зимние:2 | кошелек:2 | нержавейка:2 | стаканы:2 | большая:1 | брелок-ключница:1 | бумажник:1,14,aksessuary/instrumenty:4 | aksessuary/chehly:2 | dvigatel-i-transmissiya/nasosy:2 | podveska/podshipniki:2 | aksessuary/avtohimiya:1 | aksessuary/prochie-aksessuary:1 | dvigatel-i-transmissiya/detali-dvigatelya:1 | elektrika/signalizatsii:1,0,0,26,"А-00246 Смайлики силикон, 4 шт | А-00278 Собака маленькая | А-00404 Собака (очень большая) | А-00502 Брелок | А-00511 Перчатки | А-00936 Стакан (нержавейка) | А-01036 Брелок | А-01280 Перчатки зимние п/шерсть черные с ПВХ"
Driver electronics and diagnostics without stable target,25,0.0216,active_analogs_conflict_or_no_destination,0,25,рация:7 | модулятор:4 | сканер:3 | алан-:2 | блок:2 | диагностический:2 | манометр:2 | мультитестер:2 | пзу:2 | стробоскоп:2,53,aksessuary/instrumenty:22 | elektrika/prochaya-elektrika:13 | dvigatel-i-transmissiya/nasosy:4 | elektrika/akkumulyatory:3 | tormoznaya-sistema/prochaya-tormoznaya-sistema:3 | aksessuary/nasosy:2 | podveska/ressory:2 | aksessuary/bezopasnost:1,0,0,25,"А-01058 Рация ""АЛАН-100"" | А-01099 Рация ""Мега-Джет"" 300,100 | А-01159 Рация ""Алан-48 плюс"" | А-01437 Рация OPTIM 270 | А-01682 Тестер MS 5300 | А-01810 STAR LINE GSM блок (с 2-мя сим-картами) | А-01864 Блок стробоскопа с пультом | А-01995 FM модулятор 07 EPLUTUS"
Repair kits without destination system,23,0.0198,name_lacks_destination_context,6,17,к-т:9 | рг-:8 | ремкомплект:8 | кр-:7 | рем.к-т:6 | рем.:5 | ремонтный:4 | сб.:4 | фланцев:4 | дв.:3,458,tormoznaya-sistema/prochaya-tormoznaya-sistema:53 | dvigatel-i-transmissiya/kpp:49 | tormoznaya-sistema/supporty:44 | dvigatel-i-transmissiya/nasosy:28 | podveska/rulevye-nakonechniki:24 | dvigatel-i-transmissiya/sceplenie:23 | dvigatel-i-transmissiya/detali-dvigatelya:21 | filtry-i-masla/maslyanye-filtry:20,0,0,23,"ИН-01115 07003С Рем. к-т направл. | КР-00571 К-т фланцев ремонтный в сб. D45 СВД | РГ-00008 Рем.к-т подъёмника ЗИЛ 5-ти шток., силико | РГ-00092 Ремкомплект гидроподъёмника ЗИЛ | РГ-00256 Рем.к-т ГУРА ЗИЛ-130 (завод) | РГ-00280 Рем.к-т системы выхлопа УАЗ-469 | РГ-00284 Рем.к-т коллектора 406 дв. | РГ-00298 Рем.к-т блока педалей Газель"
Engine small parts with partial context,22,0.019,potentially_automatable_future_context_rules,10,12,дв-:8 | кг-:8 | палец:7 | втулка:5 | клапан:5 | привода:3 | сапуна:3 | д.8х:2 | нива:2 | обратки:2,620,dvigatel-i-transmissiya/detali-dvigatelya:175 | dvigatel-i-transmissiya/prokladki:56 | aksessuary/instrumenty:50 | podveska/prochaya-podveska:49 | elektrika/prochaya-elektrika:31 | tormoznaya-sistema/prochaya-tormoznaya-sistema:26 | podveska/amortizatory:24 | podveska/ressory:23,0,0,22,ДВ-00106 Клапан рециркуляции Нива в сборе | ДВ-00503 Клапан обратки 2105 | КГ-00746 Палец толкателя ГЦС | ОК-00181 Втулка верхней опоры Ока | ХСГ-01047 Втулка-бочонок МАЗ д.55 | ХСГ-01048 Втулка передней подвески МАЗ-6430 н. обр | ДВ-00172 Втулки масляного привода | ДВ-00328 Отвод сапуна 2108 (алюминиевый)
Wheel/tire accessories with partial context,22,0.019,active_analogs_conflict_or_no_destination,15,7,колес:13 | дисков:5 | колпачки:5 | колпачок:3 | зчм-:2 | колеса:2 | логотипом:2 | мешки:2 | москвич:2 | проставка:2,408,aksessuary/shiny-i-diski:142 | tormoznaya-sistema/tormoznye-kolodki:44 | filtry-i-masla/masla:42 | podveska/stupicy:38 | aksessuary/instrumenty:28 | kuzov-i-optika/podkrylki-i-bryzgoviki:20 | kuzov-i-optika/kuzovnye-detali:18 | tormoznaya-sistema/prochaya-tormoznaya-sistema:12,0,0,22,"А-01623 Мешки для колес 4 шт | А-02071 Колпачок для дисков VESTA, 1 шт | А-02083 Колпачки дисков VESTA 17 крашеные, 4 шт | А-02323 Литиевая дисковая батарейка GP Lithium CR2025, за 1 шт | ОК-00160 Колпак защитный передний | ХС-00190 Пыльник колес Нива | А-01297 Колпачки на колеса светящ., 4 шт | А-02069 Колпачки для дисков (с логотипом), 4 шт"
Chassis mounts/supports with partial context,20,0.0173,potentially_automatable_future_context_rules,0,20,стоек:8 | кр-:6 | накладки:4 | подушка:4 | зчм-:3 | балки:2 | демпферное:2 | зад.:2 | соединение:2 | универсальное:2,403,podveska/stoyki:164 | dvigatel-i-transmissiya/detali-dvigatelya:49 | kuzov-i-optika/kuzovnye-detali:39 | aksessuary/instrumenty:22 | dvigatel-i-transmissiya/kpp:13 | dvigatel-i-transmissiya/toplivnaya-sistema:12 | dvigatel-i-transmissiya/ohlazhdenie:11 | podveska/pruzhiny:11,0,0,20,"А-02317 Упор (башмак) противооткатный AVS SM-01 | ЗЧМ-00473 Чашки стоек | ЗЧМ-00495 Рем. комплект зад. балки 2141 | ИН-00557 Подушка двиг.NMN16RH,NM B15F | КР-00570 Демпферное соединение универсальное D-45/ | ХС-00476 К-т передних стоек ЛАДА-Гранта 2190 | А-00074 Накладки цент. стоек низ. | А-00280 Накладки задних стоек 3110 (2 шт)"
Mounting/installation kits without destination target,20,0.0173,name_lacks_destination_context,3,17,кг-:9 | шплинты:4 | газ:3 | к-т:3 | крепл.:3 | секретки:2 | стяжка:2 | установочный:2 | штанги:2 | avs:2,347,dvigatel-i-transmissiya/detali-dvigatelya:36 | kuzov-i-optika/kuzovnye-detali:35 | tormoznaya-sistema/supporty:20 | dvigatel-i-transmissiya/vyhlopnaya-sistema:19 | aksessuary/instrumenty:18 | podveska/pruzhiny:18 | dvigatel-i-transmissiya/detali-transmissii:17 | dvigatel-i-transmissiya/kpp:14,0,0,20,А-02289 Стяжка 8 мм х 60 см (2 шт) AVS TL-05 | К-00664 Набор крепл. продольн. верх. штанги стаб.- | К-00665 Набор крепл. продол. ниж. штанги стаб.-ра | А-01829 Секретки для номеров | А-02290 Стяжка 8 мм х 80 см (2 шт) AVS TL-03 | К-00155 Шплинты малые | К-00171 Маслёнка малая | К-00720 Секретки ВАЗ 2101 к-т
Suspension/steering parts with partial context,19,0.0164,potentially_automatable_future_context_rules,1,18,отбойник:7 | зчм-:5 | тяга:5 | москвич:4 | кр-:3 | хсг-:3 | втулка:2 | ин-:2 | маятника:2 | нива:2,998,podveska/rulevye-nakonechniki:426 | podveska/stoyki:150 | podveska/prochaya-podveska:138 | dvigatel-i-transmissiya/detali-transmissii:61 | kuzov-i-optika/kuzovnye-detali:50 | aksessuary/instrumenty:32 | dvigatel-i-transmissiya/detali-dvigatelya:22 | podveska/podshipniki:14,0,0,19,"А-01206 Отбойник УАЗ-Патриот СА-пласт. | ЗЧМ-00151 Маятник Москвич 2140 | ИН-00812 Отбойник NSHBB10RR | ХСГ-00564 Гидроусилитель руля УАЗ-469 в сборе | ХСГ-00908 Тяга реактивная ЗИЛ-131 | ХСГ-01169 Отбойник УАЗ-3160, Хантер, Патриот | А-00971 Отбойник пер.панели Газель н/о | А-01306 Отбойники УАЗ-Хантер, LADA-Гранте"
Exterior/decor body items with partial context,18,0.0155,potentially_automatable_future_context_rules,0,18,бака:7 | бак:5 | дв-:4 | крыла:3 | накладки:3 | ручек:3 | ваз:2 | закат:2 | инжектор:2 | калина:2,487,kuzov-i-optika/kuzovnye-detali:198 | dvigatel-i-transmissiya/ohlazhdenie:74 | kuzov-i-optika/moldingi:38 | kuzov-i-optika/zamki-i-ruchki:33 | dvigatel-i-transmissiya/vyhlopnaya-sistema:31 | elektrika/datchiki:24 | aksessuary/instrumenty:22 | kuzov-i-optika/podkrylki-i-bryzgoviki:12,0,0,18,"ДВ-00452 Бак 21073 инжектор | ДВ-00453 Бак 2104 инжектор | ЗЧМ-00496 Пыльник бака 2141 | А-00040 Закат крыла | А-00071 Накладки ручек | А-00073 Накладки ручек | А-00644 Накладки ручек ""Калина"" | А-00753 Закат крыла (хромиров.) ВАЗ, ГАЗ"
"Caps, covers and plugs without destination",18,0.0155,name_lacks_destination_context,2,16,заглушка:12 | веста:4 | кг-:2 | пробка:2 | ремня:2 | *12*:1 | арок:1 | бок.:1 | большая:1 | бруса:1,403,dvigatel-i-transmissiya/detali-dvigatelya:88 | dvigatel-i-transmissiya/ohlazhdenie:37 | kuzov-i-optika/zamki-i-ruchki:33 | aksessuary/instrumenty:23 | dvigatel-i-transmissiya/kpp:23 | kuzov-i-optika/kuzovnye-detali:22 | filtry-i-masla/masla:19 | aksessuary/prochie-aksessuary:14,0,0,18,К-00457 Заглушка под мовиль (пластмасса) | А-01561 Заглушка-удлинитель ремня | А-02301 Заглушка-переходник ремня (с логотипом) 1 шт | ДВ-00432 Заглушка вместо трамб. 2108 | ИН-00482 1630210 Пробка резьбовая RENAULT LOGAN/ | К-00493 Заглушка д/кислорода | К-00550 Заглушка ручек крыши 2110 | К-00580 Заглушка переключателей салона 2110
Vehicle-model-only or legacy part without function,17,0.0147,name_lacks_destination_context,3,14,зчм-:10 | москвич:10 | газель:2 | камаз:2 | ок-:2 | ока:2 | .74-1008031-:1 | бархотки:1 | бензоприемник:1 | вакуум:1,5154,kuzov-i-optika/kuzovnye-detali:531 | dvigatel-i-transmissiya/detali-dvigatelya:367 | elektrika/prochaya-elektrika:324 | dvigatel-i-transmissiya/kpp:228 | tormoznaya-sistema/prochaya-tormoznaya-sistema:204 | dvigatel-i-transmissiya/vyhlopnaya-sistema:202 | dvigatel-i-transmissiya/detali-transmissii:188 | aksessuary/instrumenty:172,0,0,17,"ЗЧМ-00338 Вакуум Москвич 412 | ЗЧМ-00440 Жаровня Москвич | ОК-00115 Подставка ОКА длинная | ОК-00317 Бархотки стекол ОКА | А-01667 Ответная часть ремня Газель, 1 шт | А-02235 Ламбрикен Газель на л/с | Г-00397 Корпус с заслонкой в сборе КАМАЗ | Г-00583 Фланец трубы приёмной КАМАЗ"
Fans and thermal/ventilation parts without stable target,16,0.0138,active_analogs_conflict_or_no_destination,0,16,вентилятор:10 | воздуховод:3 | дв-:2 | comfort:2 | автомобил.:1 | бол.:1 | в/24в:1 | вентилятора:1 | воздуховода:1 | двойной:1,147,dvigatel-i-transmissiya/detali-dvigatelya:61 | elektrika/prochaya-elektrika:27 | kuzov-i-optika/kuzovnye-detali:15 | kuzov-i-optika/obves-i-dekor:9 | dvigatel-i-transmissiya/nasosy:7 | aksessuary/instrumenty:6 | dvigatel-i-transmissiya/remni:6 | dvigatel-i-transmissiya/ohlazhdenie:4,0,0,16,"А-00004 Вентилятор ALCO | А-00979 Вентилятор ""Valgo"" | А-01983 Подстаканник на воздуховод | К-00422 Заглушка воздуховода 2110 | КР-00333 Воздуховод 2110 | ОК-00319 Кожух электровентилятора ОКА | А-00372 Вентилятор | А-00554 Вентилятор бол. 12В/24В"
Starter/ignition electrical parts with partial context,15,0.0129,potentially_automatable_future_context_rules,0,15,зчм-:7 | москвич:6 | ин-:5 | трамблера:4 | бендикс:3 | втягивающее:3 | рено:3 | кл.:2 | контакты:2 | трамблер:2,200,elektrika/prochaya-elektrika:156 | elektrika/startery:14 | dvigatel-i-transmissiya/detali-dvigatelya:8 | podveska/podshipniki:4 | aksessuary/instrumenty:3 | dvigatel-i-transmissiya/prokladki:3 | elektrika/rele:3 | aksessuary/prochie-aksessuary:2,0,0,15,ЗЧМ-00447 Бендикс Москвич 2141 | ЗЧМ-00636 Втягивающее ЗАЗ | ОК-00151 Втягивающие ОКА | ДВ-00040 Втулка грибка трамблера | ЗЧМ-00060 Контакты Москвич (Турция) | ЗЧМ-00072 Уголёк трамблера Москвич | ЗЧМ-00369 Контакты Москвич | ЗЧМ-00465 Манжет трамблера Москвич (1 шт)
Travel/storage/covers without stable target,15,0.0129,no_allowed_target_current_taxonomy,0,15,накидка:4 | тент:4 | сумка:3 | кожа:2 | перевозки:2 | собаки:2 | автомобильный:1 | бескаркасное:1 | большой:1 | водонепрониц.:1,95,aksessuary/chehly:47 | kuzov-i-optika/kuzovnye-detali:20 | aksessuary/instrumenty:9 | aksessuary/organayzery:9 | aksessuary/prochie-aksessuary:7 | aksessuary/bezopasnost:1 | aksessuary/ramki-nomerov:1 | dvigatel-i-transmissiya/remni:1,0,0,15,"А-00711 Покрытие пола (линолеум) | А-01378 Сумка-холодильник (термо) | А-01477 Сумка кожа | А-01591 Тент SEEP большой | А-01616 Накидка - искусственный мех ""ALPACA"", 2 шт | А-01668 Термокружка с подогревом | А-01704 Накидка ""TRANSIT VAN"" | А-01765 Сумка для ноутбука"
Driveline/axle/differential parts with partial context,14,0.0121,potentially_automatable_future_context_rules,0,14,хсг-:6 | ось:4 | уаз:4 | дифференциал:3 | дифференциала:2 | заз:2 | зуб.:2 | зчм-:2 | саттелитов:2 | б/глав.пары:1,278,dvigatel-i-transmissiya/detali-transmissii:82 | aksessuary/instrumenty:47 | elektrika/prochaya-elektrika:21 | dvigatel-i-transmissiya/detali-dvigatelya:19 | dvigatel-i-transmissiya/kpp:16 | dvigatel-i-transmissiya/prokladki:14 | kuzov-i-optika/kuzovnye-detali:13 | podveska/rychagi:13,0,0,14,ЗЧМ-00490 Комплект саттелитов 2140 | ОК-00219 Подушка шарнира | Р-00015 Ось саттелитов в сборе ЗАЗ (к-т) | Р-00023 Пыльник торсиона ЗАЗ (за 1 шт) | ХС-00444 Промвал Нива на крестовине | ХСГ-00207 Чулок пер. моста УАЗ | ХСГ-00474 Ось сателлитов дифференциала ГАЗ-3302 | ХСГ-00602 Дифференциал УАЗ (блокирующий)
Lighting/signal devices without stable target,14,0.0121,active_analogs_conflict_or_no_destination,1,13,сигнал:4 | габаритов:2 | ин-:2 | кр.:2 | маячок:2 | проблесковый:2 | сигналы:2 | указатель:2 | белый:1 | выключатель:1,422,kuzov-i-optika/fonari:326 | elektrika/prochaya-elektrika:37 | elektrika/signalizatsii:31 | elektrika/lampy:5 | aksessuary/instrumenty:4 | elektrika/datchiki:4 | aksessuary/prochie-aksessuary:3 | elektrika/rele:3,0,0,14,"А-00573 Прожектор | А-01885 Сигнал ""VOLVO"" | О-00710 Габаритные огни диодные. 2 шт | А-00282 Сигналы ""GMP"" нов. обр. | А-00603 Проблесковый маячок | А-00691 Проблесковый маячок (импульсный) | А-01161 Сигналы ""Ху-до"",2 шт | А-01335 Сигнал 2023, 2 шт"
Optics/glass parts with partial context,14,0.0121,potentially_automatable_future_context_rules,7,7,фар:5 | оптика:3 | ваз:2 | крепления:2 | стекло:2 | уаз:2 | авто:1 | ближ./дальн.:1 | блок-фары:1 | болт:1,245,kuzov-i-optika/fary:124 | kuzov-i-optika/kuzovnye-detali:32 | elektrika/prochaya-elektrika:27 | aksessuary/prochie-aksessuary:18 | elektrika/rele:9 | elektrika/provodka:7 | aksessuary/avtohimiya:5 | aksessuary/instrumenty:5,0,0,14,"О-00041 LED Рено ближ./дальн. свет | О-00547 Блок-фары прав./лев. 2110 (г. Тольятти) | О-00676 Светомаскировка для грузовых авто (кт 2шт) | О-00706 К-т ходовых огней Ларгус | А-01363 Накладки фар верхн. Приора, 2 шт | К-00196 Болт регулир. фар ВАЗ (2 шт) | К-00320 Прижим стекла фар 2108 | К-00675 Набор крепления фар 2101-06"
Novelty/souvenir non-catalog goods,12,0.0104,no_allowed_target_current_taxonomy,0,12,присоске:4 | большой:2 | вымпел:2 | большая:1 | говорящий:1 | игрушка-корова:1 | леопард:1 | люблю:1 | мячик-дезодорант:1 | обезьяна:1,12,elektrika/prochaya-elektrika:11 | aksessuary/prochie-aksessuary:1,0,0,12,"А-00526 Обезьяна на присоске | А-00718 Мячик-дезодорант (1 шт) | А-00894 Рысь (большая) | А-00918 Поросенок (большой) | А-00986 Подарочный набор | А-01033 Игрушка-корова на присоске | А-01050 ""Леопард"" хромир. | А-01471 Хомяк ""говорящий"""
Cleaning/wiper accessories without stable target,11,0.0095,active_analogs_conflict_or_no_destination,6,5,омывателя:6 | бачка:5 | щетка:5 | кр-:4 | зимняя:2 | кронштейн:2 | крышка:2 | awm:2 | веста:1 | грузовая:1,247,filtry-i-masla/zhidkosti:79 | aksessuary/avtohimiya:46 | aksessuary/prochie-aksessuary:39 | elektrika/prochaya-elektrika:23 | aksessuary/instrumenty:19 | kuzov-i-optika/kuzovnye-detali:14 | dvigatel-i-transmissiya/nasosy:9 | elektrika/startery:8,0,0,11,"А-00121 Щётка для сметания пыли | А-00175 Щётка с губкой | А-02061 AWM Щетка зимняя | А-02074 Щетка зимняя AWM 55см, 61см | А-02091 ALCO Щётка грузовая 61, 66 | ИН-00077 Мотор бачка омывателя Ланос | КГ-01064 Зажим трубки омывателя на поводке малый Г | КР-00043 Кронштейн бачка омывателя 2101"
Cabin comfort/universal accessories without stable target,11,0.0095,active_analogs_conflict_or_no_destination,0,11,часы:6 | завод:2 | ковролин:2 | шторки:2 | батарейке:1 | большие:1 | зчм-:1 | ин-:1 | к-т:1 | ковров:1,211,aksessuary/prochie-aksessuary:103 | aksessuary/kovriki:81 | kuzov-i-optika/kuzovnye-detali:13 | elektrika/prochaya-elektrika:4 | dvigatel-i-transmissiya/detali-dvigatelya:2 | podveska/pruzhiny:2 | aksessuary/avtohimiya:1 | dvigatel-i-transmissiya/remni:1,0,0,11,А-01338 Часы большие (на батарейке) | ЗЧМ-00094 Часы 2141 | А-00141 Часы 2110 (тюнинг) | А-00151 Шторки | А-00373 Часы VST 7045V | А-01121 Шторки на присоске (со скосом) | А-01261 Ковролин 2110 (завод) | А-01659 Ковролин салона Нива (завод)
Consumer phone/power accessories,11,0.0095,no_allowed_target_current_taxonomy,0,11,батарейки:3 | банк:2 | карта:2 | памяти:2 | пауэр:2 | iphone:2 | алкалиновые:1 | зарядка:1 | кабель:1 | шт.:1,43,elektrika/prochaya-elektrika:34 | elektrika/akkumulyatory:3 | elektrika/provodka:3 | aksessuary/prochie-aksessuary:1 | elektrika/signalizatsii:1 | kuzov-i-optika/zerkala:1,0,0,11,"А-02247 Батарейки ""REXANT"" (за 1 шт) | А-02276 Зарядка для i-phone 323 | А-00063 Алкалиновые батарейки (за 2 шт.)GP Super high Tech Alkaline 15А АА, 24А АА | А-01724 Пауэр Банк МВ 209 | А-01732 Пауэр Банк МВ 101 | А-01931 Карта памяти 8 GB | А-02086 Карта памяти MRM 32 Гб | А-02304 Батарейки 2032"
